time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-16T21:05:30.240Z,72.4388,2.8316,10,4.6,mb,,86,6.692,0.68,us,us6000hlm0,2022-05-16T21:31:58.040Z,"Norwegian Sea",earthquake,8.3,1.9,0.048,127,reviewed,us,us
2022-05-16T19:39:12.096Z,-6.8385,147.4416,76.74,4.5,mb,,83,5.385,1.23,us,us6000hll0,2022-05-16T20:45:36.040Z,"50 km ESE of Lae, Papua New Guinea",earthquake,10.5,7.7,0.066,67,reviewed,us,us
2022-05-16T18:58:24.905Z,-5.2531,102.0067,22.04,5.8,mww,,39,1.296,0.92,us,us6000hljt,2022-05-17T20:09:21.040Z,"163 km S of Bengkulu, Indonesia",earthquake,7.4,3.5,0.06,27,reviewed,us,us
2022-05-16T13:33:44.001Z,-17.9046,-73.1608,10,4.6,mb,,152,2.72,0.51,us,us6000hlgl,2022-05-16T14:42:47.040Z,"149 km SSW of Camaná, Peru",earthquake,10.1,1.9,0.165,11,reviewed,us,us
2022-05-16T13:28:01.923Z,-4.1032,141.9921,85.03,4.6,mb,,112,9.795,0.48,us,us6000hlgk,2022-05-16T13:53:26.040Z,"92 km W of Ambunti, Papua New Guinea",earthquake,9.9,4.3,0.094,35,reviewed,us,us
2022-05-16T11:43:26.190Z,-0.7444,133.2796,35.29,4.9,mb,,117,2.393,0.44,us,us6000hlg1,2022-05-16T12:01:12.040Z,"Near the north coast of Papua, Indonesia",earthquake,5.6,6.8,0.071,62,reviewed,us,us
2022-05-16T11:22:59.226Z,-7.4553,128.6101,117.62,4.5,mb,,62,2.715,0.76,us,us6000hlfv,2022-05-16T12:04:22.040Z,"213 km ENE of Lospalos, Timor Leste",earthquake,6.7,5.1,0.131,17,reviewed,us,us
2022-05-16T10:13:47.753Z,0.5705,122.184,92.53,4.8,mb,,63,1.501,1.1,us,us6000hlfk,2022-05-16T10:29:49.040Z,"97 km W of Gorontalo, Indonesia",earthquake,7,7.4,0.083,45,reviewed,us,us
2022-05-16T06:40:54.720Z,11.2611,-87.0141,35,4.6,mb,,181,1.158,0.55,us,us6000hlet,2022-05-16T10:05:23.040Z,"79 km SW of Masachapa, Nicaragua",earthquake,6.7,2,0.033,270,reviewed,us,us
2022-05-16T05:25:53.904Z,50.6344,156.238,85.91,5.4,mww,,27,2.637,0.8,us,us6000hlee,2022-05-17T13:18:44.582Z,"9 km ESE of Severo-Kuril’sk, Russia",earthquake,6.5,3.5,0.049,40,reviewed,us,us
